% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'lower fed', 'rates least', 'VB NP', 'NNS JJS', 'money paid for the use of money'
'taxes covers', 'penalties owed', 'NNS VBZ', 'NNS VBN', 'money paid for the use of money'
'short', 'international mobile', 'JJ', 'NP NP', 'a share in a company or business'
'short see', 'otc stocks', 'JJ VB', 'NP NNS', 'a share in a company or business'
'stable continued', 'rates stocks', 'JJ VBD', 'NNS NNS', 'money paid for the use of money'
'lose starts', 'day conversion', 'VB VBP', 'NN NN', 'money paid for the use of money'
'earn continue', 'card holder', 'VB VB', 'NN NN', 'money paid for the use of money'
'short-term lower', 'rates said', 'JJ JJR', 'NNS VBD', 'money paid for the use of money'
'lower posting', 'rates since', 'JJR VBG', 'NNS IN', 'money paid for the use of money'
'short-term year', 'rates moving', 'JJ NN', 'NNS VBG', 'money paid for the use of money'
'plus changes', 'amounted negative', 'CC NNS', 'VBN JJ', 'money paid for the use of money'
'jacked leverage', 'income', 'VBN NN', 'NN', 'money paid for the use of money'
'great 5', 'since gold', 'JJ AB', 'IN JJ', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'suggesting proposal', 'looking modified', 'VBG NN', 'VBG VBN', 'readiness to give attention'
'debt bad', 'income', 'NN JJ', 'NN', 'money paid for the use of money'
'defer also', 'principal junk', 'VB RB', 'NN NN', 'money paid for the use of money'
'cash annual', 'bill $', 'NN JJ', 'NN NN', 'money paid for the use of money'
'pay yet', 'bill analysts', 'VB RB', 'NN NNS', 'money paid for the use of money'
'ignoring board', 'individual institutional', 'VBG NP', 'JJ JJ', 'advantage, advancement or favor'
'pay securities', 'periodically', 'VB NNS', 'RB', 'money paid for the use of money'
'current %', 'bonds due', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'current program', 'bonds due', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'current program', 'bonds due', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'% 50', 'national steel', 'NN AB', 'NP NP', 'a share in a company or business'
'manufacturer incX', 'aerospace automotive', 'NN NP', 'NN JJ', 'a share in a company or business'
'active absence', 'beyond market-makers', 'JJ NN', 'IN NNS', 'readiness to give attention'
'family public', 'spokeswoman french', 'NN NN', 'NN JJ', 'a share in a company or business'
'best risky', 'investing public', 'JJS JJ', 'VBG NN', 'advantage, advancement or favor'
'increases operations', 'expense charges', 'NNS NNS', 'NN NNS', 'money paid for the use of money'
'minority payments', '', 'NN NNS', '', 'a share in a company or business'
'sale include', 'joint venture', 'NN VB', 'JJ NN', 'a share in a company or business'
'% 25', 'aXtXbX holding', 'NN AB', 'NP VBG', 'a share in a company or business'
'japanese year', 'rates though', 'JJ NN', 'NNS IN', 'money paid for the use of money'
'expressions received', 'bloomingdale Xs', 'NNS VBN', 'NP POS', 'readiness to give attention'
'including charges', 'debt securities', 'VBG NNS', 'NN NNS', 'money paid for the use of money'
'year million', 'cash-deferred zero-coupon', 'NN AB', 'JJ JJ', 'money paid for the use of money'
'year million', 'earned proceeds', 'NN AB', 'VBN NNS', 'money paid for the use of money'
'expressed democrats', 'cutting tax', 'VBN NPS', 'VBG NN', 'readiness to give attention'
'average', 'rate rose', 'JJ', 'NN VBD', 'money paid for the use of money'
'itt finance', 'electronic parts', 'NP NN', 'JJ NNS', 'a share in a company or business'
'working %', 'partners include', 'VBG NN', 'NNS VBP', 'a share in a company or business'
'% 50', 'kuwait foreign', 'NN AB', 'NP NP', 'a share in a company or business'
'minority payments', 'rose 749', 'NN NNS', 'VBD AB', 'a share in a company or business'
'high-risk mainly', 'rates backfired', 'JJ RB', 'NNS VBD', 'money paid for the use of money'
'reason prices', 'sears declined', 'NN NNS', 'NP VBD', 'readiness to give attention'
'forfeit thus', 'income', 'VB RB', 'NN', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'consumer stand', 'small government', 'NN VB', 'JJ NN', 'advantage, advancement or favor'
'late-payment seeks', 'lost check', 'NN VBZ', 'JJ NN', 'money paid for the use of money'
'request check', 'abatement publisher', 'VB NN', 'NN NN', 'money paid for the use of money'
'home-mortgage deduct', '$ 200,000', 'JJ VB', 'NN AB', 'money paid for the use of money'
'debt home-acquisition', 'fully deductible', 'NN JJ', 'RB JJ', 'money paid for the use of money'
'government substantial', 'unconstitutional ninth-circuit', 'NN JJ', 'JJ JJ', 'advantage, advancement or favor'
'special proliferation', 'magazines', 'JJ NN', 'NNS', 'activity, etc. that one gives attention to'
'idosyncratic target', 'readers', 'JJ VBP', 'NNS', 'activity, etc. that one gives attention to'
'level', 'rtc Xs', 'NN', 'NP POS', 'readiness to give attention'
'minority group', 'already operating', 'NN NN', 'RB VBG', 'a share in a company or business'
'rates default', 'rate government', 'NNS NN', 'NN NN', 'money paid for the use of money'
'coverage government', 'costs student', 'NN NN', 'NNS NN', 'money paid for the use of money'
'school student', 'costs either', 'NN NN', 'NNS RB', 'money paid for the use of money'
'commonality promoting', 'among black', 'NN VBG', 'IN JJ', 'activity, etc. that one gives attention to'
'narrow speak', 'one group', 'JJ VB', 'AB NN', 'advantage, advancement or favor'
'serve compelled', 'constituents servile', 'VB VBN', 'NNS JJ', 'advantage, advancement or favor'
'common background', 'live together', 'JJ NN', 'VB RB', 'activity, etc. that one gives attention to'
'short', 'nasdaq over-the-counter', 'JJ', 'NP JJ', 'a share in a company or business'
'short otc', 'statistics compiled', 'JJ NP', 'NNS VBN', 'a share in a company or business'
'short however', 'figures reported', 'JJ RB', 'NNS VBN', 'a share in a company or business'
'short total', 'nasdaq stocks', 'JJ JJ', 'NP NNS', 'a share in a company or business'
'short otc', 'compares 4X2', 'JJ NP', 'VBZ AB', 'a share in a company or business'
'short', 'represents number', 'JJ', 'VBZ NN', 'a share in a company or business'
'short issues', 'rose 196X8', 'JJ NNS', 'VBD AB', 'a share in a company or business'
'short large', 'octX 13', 'JJ JJ', 'NP AB', 'a share in a company or business'
'short', 'first executive', 'JJ', 'NP NP', 'a share in a company or business'
'short Xs', 'jumped 42', 'JJ POS', 'VBD AB', 'a share in a company or business'
'short biggest', 'position nasdaq', 'JJ JJS', 'NN NP', 'a share in a company or business'
'short changes', 'stocks may', 'JJ NNS', 'NNS MD', 'a share in a company or business'
'short saw', 'surge', 'JJ VBD', 'NN', 'a share in a company or business'
'short', 'american depositary', 'JJ', 'JJ JJ', 'a share in a company or business'
'short drop', 'included adobe', 'JJ NN', 'VBD NP', 'a share in a company or business'
'short compiles', 'data two', 'JJ VBZ', 'NNS AB', 'a share in a company or business'
'short', '1,327 non-nms', 'JJ', 'AB JJ', 'a share in a company or business'
'short october', 'represents 1X04', 'JJ NP', 'VBZ AB', 'a share in a company or business'
'short issues', 'position least', 'JJ NNS', 'NN JJS', 'a share in a company or business'
'principal recover', 'unsecured creditors', 'NN VB', 'JJ NNS', 'money paid for the use of money'
'inflation lower', 'rates tend', 'NN JJR', 'NNS VBP', 'money paid for the use of money'
'', 'picks though', '', 'VBZ RB', 'readiness to give attention'
'current consist', 'bonds due', 'JJ VBP', 'NNS JJ', 'money paid for the use of money'
'current 1989', 'bonds due', 'JJ AB', 'NNS JJ', 'money paid for the use of money'
'current', 'serial bonds', 'JJ', 'NN NNS', 'money paid for the use of money'
'', 'rates generally', '', 'NNS RB', 'money paid for the use of money'
't-bills follow', 'rate trends', 'NNS VBP', 'NN NNS', 'money paid for the use of money'
'reduce debt', 'costs wang', 'VB NN', 'NNS NP', 'money paid for the use of money'
'ease expected', 'rates next', 'VB VBN', 'NNS JJ', 'money paid for the use of money'
'higher offset', 'expense lower', 'JJR VBN', 'NN JJR', 'money paid for the use of money'
'minority Xs', 'stein industrie', 'NN POS', 'NP NP', 'a share in a company or business'
'high attention', 'rates corporate', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'institutional absence', 'later session', 'JJ NN', 'RB NN', 'readiness to give attention'
'attract bid', 'action largely', 'VB NN', 'NN RB', 'readiness to give attention'
'european continental', 'british life', 'JJ JJ', 'JJ NN', 'readiness to give attention'
'investor spark', 'issues unlikely', 'NN VB', 'NNS JJ', 'readiness to give attention'
'acquires ibm', '', 'VBZ NP', '', 'a share in a company or business'
'australian rising', 'rates acquisition', 'JJ VBG', 'NNS NN', 'money paid for the use of money'
'oil coal', 'sale total', 'NN NN', 'NN NN', 'a share in a company or business'
'oil', 'already sold', 'NN', 'RB VBN', 'a share in a company or business'
'cash pay', 'bill stay', 'NN VB', 'NN VB', 'money paid for the use of money'
'accrued plus', 'decX 8', 'VBN CC', 'NP AB', 'money paid for the use of money'
'cut reserve', 'rates amid', 'VB NP', 'NNS IN', 'money paid for the use of money'
'lower supply', 'rates Xre', 'JJR NN', 'NNS VBP', 'money paid for the use of money'
'', 'japanese investors', '', 'JJ NNS', 'readiness to give attention'
'strong remain', 'rates decline', 'JJ VB', 'NNS VB', 'money paid for the use of money'
'drum efforts', 'so-called bailout', 'VB NNS', 'JJ NN', 'readiness to give attention'
'falling advantage', 'rates', 'VBG NN', 'NNS', 'money paid for the use of money'
'true group', 'cost 7X17', 'JJ NN', 'NN AB', 'money paid for the use of money'
'corporations foreign', 'principal paid', 'NNS JJ', 'NN VBN', 'money paid for the use of money'
'short', 'increased 6', 'JJ', 'VBD AB', 'a share in a company or business'
'', 'connected issue', '', 'VBN NN', 'readiness to give attention'
'losing seems', 'giving gm', 'VBG VBZ', 'VBG NP', 'readiness to give attention'
'Xs company', 'acquiring minority', 'POS NN', 'VBG NN', 'readiness to give attention'
'Xs gm', 'jaguar reflects', 'POS NP', 'NP VBZ', 'readiness to give attention'
'one-third remaining', 'asbestos mining', 'JJ VBG', 'NN NN', 'a share in a company or business'
'majority sold', 'last year', 'NN VBD', 'JJ NN', 'a share in a company or business'
'prices bond', 'rates fall', 'NNS NN', 'NNS VBP', 'money paid for the use of money'
'faster decrease', 'rates fall', 'RBR VB', 'NNS VB', 'money paid for the use of money'
'pursue august', '', 'VB NP', '', 'activity, etc. that one gives attention to'
'time', 'rates came', 'NN', 'NNS VBD', 'money paid for the use of money'
'1984 issued', 'rates general', 'AB VBN', 'NNS JJ', 'money paid for the use of money'
'principal assumed', 'fully insured', 'NN VBD', 'RB VBN', 'money paid for the use of money'
'principal pay', 'accrued date', 'NN VB', 'VBN NN', 'money paid for the use of money'
'year payable', 'accrued although', 'NN JJ', 'VBN IN', 'money paid for the use of money'
'lower system', 'rates', 'VB NP', 'NNS', 'money paid for the use of money'
'complained fed', 'rates high', 'VBD NP', 'NNS JJ', 'money paid for the use of money'
'return country', 'rates historical', 'VB NN', 'NNS JJ', 'money paid for the use of money'
'funds federal', 'rate 8', 'NNS JJ', 'NN AB', 'money paid for the use of money'
'purchase incX', 'eagle Xs', 'VB NP', 'NP POS', 'a share in a company or business'
'', 'rates paid', '', 'NNS VBD', 'money paid for the use of money'
'taxes accounting', 'expense', 'NNS VBG', 'NN', 'money paid for the use of money'
'earnings defined', 'taxes depreciation', 'NNS VBD', 'NNS NN', 'money paid for the use of money'
'X banks', 'financing transaction', 'POS NNS', 'VBG NN', 'readiness to give attention'
'fees financing', 'rates invested', 'NNS NN', 'NNS VBD', 'money paid for the use of money'
'current includes', 'bonds due', 'JJ VBZ', 'NNS JJ', 'money paid for the use of money'
'current', 'serial bonds', 'JJ', 'NN NNS', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'diverted buoyant', 'payments', 'VBN JJ', 'NNS', 'money paid for the use of money'
'sole whose', 'responsibility goodson', 'JJ WP', 'NN NP', 'activity, etc. that one gives attention to'
'insurance Xs', 'acquired three', 'NN POS', 'VBN AB', 'a share in a company or business'
'insurance allianz', 'bought help', 'NN NP', 'VBN VB', 'a share in a company or business'
'Xs corpX', 'ikegai-goss joint', 'POS NP', 'NP JJ', 'a share in a company or business'
'lower reserve', 'rates effort', 'VB NP', 'NNS NN', 'money paid for the use of money'
'much shown', 'refcorp bonds', 'JJ VBN', 'NP NNS', 'readiness to give attention'
'act probably', 'minority holders', 'VB RB', 'NN NNS', 'advantage, advancement or favor'
'stake %', 'new realty', 'NN NN', 'JJ NN', 'a share in a company or business'
'accrue note', 'rate 13X5', 'VB NN', 'NN AB', 'money paid for the use of money'
'immediate cash', 'payments mrX', 'JJ NN', 'NNS NP', 'money paid for the use of money'
'missing filing', 'payments $', 'VBG NN', 'NNS NN', 'money paid for the use of money'
'investor receiving', 'land property', 'NN VBG', 'NN NN', 'readiness to give attention'
'hope amid', 'rates peaked', 'NN IN', 'NNS VBN', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'', 'income rose', '', 'NN VBD', 'money paid for the use of money'
'annualized', 'rates certain', 'JJ', 'NNS JJ', 'money paid for the use of money'
'new-found reflecting', '140 uXsX', 'JJ VBG', 'AB NP', 'readiness to give attention'
'current basis', 'rates australia', 'JJ NN', 'NNS NP', 'money paid for the use of money'
'australian high', 'rates pilots', 'JJ JJ', 'NNS NNS', 'money paid for the use of money'
'profit group', 'tax depreciation', 'NN NN', 'NN NN', 'money paid for the use of money'
'executives australia', '', 'NNS NP', '', 'a share in a company or business'
'shown buyers', 'national says', 'VBN NNS', 'JJ VBZ', 'readiness to give attention'
'increasing thus', 'expense reducing', 'VBG RB', 'NN VBG', 'money paid for the use of money'
'hefty weight', 'payments', 'JJ NN', 'NNS', 'money paid for the use of money'
'tardy caused', 'payments put', 'JJ VBD', 'NNS VB', 'money paid for the use of money'
'partnership investment', 'primarily packaging', 'NN NN', 'RB NN', 'a share in a company or business'
'family various', '', 'NN JJ', '', 'a share in a company or business'
'excited estate', '', 'VBN NN', '', 'readiness to give attention'
'lost maker', 'became clear', 'VBD NN', 'VBD JJ', 'readiness to give attention'
'retains', 'acquiring candies', 'VBZ', 'VBG NNS', 'readiness to give attention'
'nXt cathay', 'swapping equity', 'RB NP', 'VBG NN', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'8X68 $', 'accrued decX', 'AB NN', 'VBN NP', 'money paid for the use of money'
'businessman arizona', 'real estate', 'NN NP', 'JJ NN', 'a share in a company or business'
'preserving way', 'constituents said', 'VBG NN', 'NNS VBD', 'advantage, advancement or favor'
'net', 'bill jumped', 'JJ', 'NN VBD', 'money paid for the use of money'
'corpX bond', 'brewing media', 'NP NP', 'NN NNS', 'a share in a company or business'
'earnings', 'tax brewing', 'NNS', 'NN NN', 'money paid for the use of money'
'high reason', 'rates labor', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'believe', 'rates continue', 'VBP', 'NNS VB', 'money paid for the use of money'
'fact power', 'buying equities', 'NN NN', 'VBG NNS', 'readiness to give attention'
'', 'natural environment', '', 'JJ NN', 'readiness to give attention'
'% 62X5', 'messrsX lee', 'NN AB', 'NPS NP', 'a share in a company or business'
'concern X', 'rates gas', 'NN POS', 'NNS NN', 'money paid for the use of money'
'allow reserve', 'rates move', 'VB NP', 'NNS VB', 'money paid for the use of money'
'speculation soared', 'rates continue', 'NN VBD', 'NNS VB', 'money paid for the use of money'
'plus changes', 'income', 'CC NNS', 'NN', 'money paid for the use of money'
'bonds longer-term', 'rates fall', 'NNS JJR', 'NNS VBP', 'money paid for the use of money'
'strong met', 'abroad particularly', 'JJ VBD', 'RB RB', 'readiness to give attention'
