% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'selected blue-chip issues attracted buying', 'however jones industrial average stayed positive territory throughout entire session', 'JJ JJ NNS VBD NN', 'RB NP NP NP VBD JJ NN IN JJ NN', 'readiness to give attention'
'realization', 'rates firm due excessive demand credit part federal government including off-balance sheet requirements leveraged buyout related transactions', 'NN', 'NNS JJ RB JJ NN NN NN JJ NN VBG JJ NN NNS JJ NN JJ NNS', 'money paid for the use of money'
'one magnify problem 10 times highly leveraged companies whose revenues slowing', 'rates longer accommodative bifurcated credit markets', 'NN VB NN AB NNS RB JJ NNS WP NNS VBG', 'NNS RB JJ JJ NN NNS', 'money paid for the use of money'
'dollar slide year end - due international', 'rate differentials choreographed trading techniques certain oil importers - inspire foreign-investor *interest', 'NN VB NN NN ? RB JJ', 'NN NNS JJ NN NNS JJ NN NNS ? VB NN NN', 'money paid for the use of money'
'dollar slide year end - due international *interest rate differentials choreographed trading techniques certain oil importers - inspire foreign-investor', '', 'NN VB NN NN ? RB JJ NN NN NNS JJ NN NNS JJ NN NNS ? VB NN', '', 'readiness to give attention'
'loan carries 9X65 % annual', 'rate approved scientific-atlanta $ 29X4 million contract supply equipment services project chile', 'NN VBZ AB NN JJ', 'NN VBN NP NN AB AB NN VB NN NNS NN NP', 'money paid for the use of money'
'short-term', 'rates rose government Xs regular weekly treasury-bill auction', 'JJ', 'NNS VBD NN POS JJ JJ NN NN', 'money paid for the use of money'
'details yesterday Xs 51-day cash management bill auction', 'rate 8X07 % bills dated octX 31 mature decX 21 1989', 'NNS NN POS JJ NN NN NN NN', 'NN AB NN NNS VBN NP AB NP NP AB AB', 'money paid for the use of money'
'june western union forced reset', 'rate senior secured notes due 1992 19 14 % 16 12 % move increased firm Xs annual *interest payments $ 13X8 million', 'NP NP NP VBN VB', 'NN JJ VBN NNS RB AB AB AB NN AB AB NN NN VBD NN POS JJ NN NNS NN AB AB', 'money paid for the use of money'
'june western union forced reset *interest rate senior secured notes due 1992 19 14 % 16 12 % move increased firm Xs annual', 'payments $ 13X8 million', 'NP NP NP VBN VB NN NN JJ VBN NNS RB AB AB AB NN AB AB NN NN VBD NN POS JJ', 'NNS NN AB AB', 'money paid for the use of money'
'impression nXt anything arouses', 'first glance says official japan Xs ministry international trade industry', 'NN RB NN VBZ', 'JJ NN VBZ NN NP POS NP NP NP NP', 'readiness to give attention'
'survey also detected bit', 'golf positive sign country clubs golf club makers', 'NN RB VBD NN', 'NN JJ NN NN NNS NN NN NNS', 'readiness to give attention'
'central bank also unexpectedly raised base rate half percentage point 3X75 % octX 11 part inflation-fighting move indirectly increases', 'rates charged new home construction loans', 'JJ NN RB RB VBD NN NN PDT NN NN AB NN NP AB NN JJ NN RB VBZ', 'NNS VBN JJ NN NN NNS', 'money paid for the use of money'
'analysts also say Xs inevitable brazil seek renegotiate $ 115 billion foreign debt suspended', 'payments last month', 'NNS RB VBP VBZ JJ NP VB VB NN AB AB JJ NN VBD', 'NNS JJ NN', 'money paid for the use of money'
'reflects values generation wants time families personal', 'says john hX moxley iii directs physician-executive searches kornferry international', 'VBZ NNS NN VBZ NN NNS JJ', 'VBZ NP NP NP NP VBZ JJ NNS NP NP', 'activity, etc. that one gives attention to'
'approach generated much', 'nyu host first conference cooperative care novX 30', 'NN VBN JJ', 'NP NN JJ NN JJ NN NP AB', 'readiness to give attention'
'investor', 'stock funds nXt stalled mrX hines maintains', 'NN', 'NN NNS RB VBN NP NP VBZ', 'readiness to give attention'
'western', 'see mrX gorbachev succeed', 'JJ', 'VB NP NP VB', 'advantage, advancement or favor'
'revco insists proposal simply expression', 'chapter 11 revco exclusivity rights febX 28', 'NP VBZ NN RB NN', 'NP AB NP NN NNS NP AB', 'readiness to give attention'
'ensure loyalty business sector mrX gorbachev may offer concessions powers allow business community preserve', 'probably restricting competition', 'VB NN NN NN NP NP MD VB NNS NNS VB NN NN VB', 'RB VBG NN', 'advantage, advancement or favor'
'quotron nXt profitable citicorp Xs books', 'charges new york bank holding company incurred buying financial-data concern $ 680 million says ronald iX mandle analyst sanford cX bernstein AND', 'NP RB JJ NP POS NNS', 'VBZ NP NP NN VBG NN VBD VBG JJ NN NN AB AB VBZ NP NP NP NN NP NP NP CC', 'money paid for the use of money'
'abc Xs baseball experience may', 'cbs incX next season takes broadcasting baseball playoffs four-year television contract priced $ 1X06 billion', 'NP POS NN NN MD', 'NP NP JJ NN VBZ NN NN NNS JJ NN NN VBN NN AB AB', 'quality of causing attention to be given to'
'', 'instead decreased', '', 'RB VBD', 'readiness to give attention'
'', 'waned day wore investors looked ahead release later week two important economic reports', '', 'VBD NN VBD NNS VBD RB NN RB NN AB JJ JJ NNS', 'readiness to give attention'
'monday october 30 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'annualized', 'rates certain investments reported federal reserve board weekly-average basis a-discounted rate', 'VBN', 'NNS JJ NNS VBN NP NP NP JJ NN VBN NN', 'money paid for the use of money'
'western union said two weeks ago withdraw pending offer replaced $ 500 million so-called reset notes paying 19X25 % annual', 'set come due 1992 two new issues paying lower *interest', 'NP NP VBD AB NNS RB VB VBG NN VBN NN AB AB JJ JJ NNS VBG AB NN JJ', 'VBN VB RB AB AB JJ NNS VBG JJR NN', 'money paid for the use of money'
'western union said two weeks ago withdraw pending offer replaced $ 500 million so-called reset notes paying 19X25 % annual *interest set come due 1992 two new issues paying lower', '', 'NP NP VBD AB NNS RB VB VBG NN VBN NN AB AB JJ JJ NNS VBG AB NN JJ NN VBN VB RB AB AB JJ NNS VBG JJR', '', 'money paid for the use of money'
'notes became burdensome reset provisions allowed', 'rate raised 19X25 % last june', 'NNS VBD JJ NN NNS VBD', 'NN VBN AB NN JJ NP', 'money paid for the use of money'
'western union offered swap $ 1,000 face amount notes six shares common stock two new debt issues $ 500 note paying', 'rate starting 16X75 % annually rising later years due 1992 $ 500 note due 1997 paying fixed rate 17 % including rights protecting holder decline trading price bond', 'NP NP VBN VB NN AB NN NN NNS AB NNS JJ NN AB JJ NN NNS NN AB NN VBG', 'NN VBG AB NN RB VBG JJ NNS RB AB NN AB NN RB AB VBG VBN NN AB NN VBG NNS VBG NN NN NN NN NN', 'money paid for the use of money'
'western union make $ 48 million', 'payments reset notes decX 15 company spokesman said fully intends meet payments', 'NP NP VB NN AB AB', 'NNS NN NNS NP AB NN NN VBD RB VBZ VB NNS', 'money paid for the use of money'
'western union said lower', 'rate debt regain full financial health', 'NP NP VBD VB', 'NN NN VB JJ JJ NN', 'money paid for the use of money'
'munich-based allianz Xs brief explanatory statement said acting protect', 'shareholder navigation mixte', 'JJ NP POS JJ JJ NN VBD VBG VB', 'NN NP NP', 'advantage, advancement or favor'
'allianz said statement acting protect', 'ties navigation mixte partner', 'NP VBD NN VBG VB', 'VBZ NP NP NN', 'a share in a company or business'
'fletcher challenge ltdX said petrocorp unit agreed acquire certain alberta oil gas', 'amoco corpX Xs canadian unit 130 million canadian dollars us$ 110X6 million', 'NP NP NP VBD NP NN VBD VB JJ NP NN NN', 'NP NP POS JJ NN AB AB JJ NNS NN AB AB', 'a share in a company or business'
'mercury attributed loss rapid prepayments loans costs incurred refinancing many house loans past spring summer', 'rates dipped', 'NP VBD NN JJ NNS NNS NNS VBN VBG JJ NN NNS JJ NN NN', 'NNS VBD', 'money paid for the use of money'
'james river maker pulp paper plastic products already', 'tissue businesses france spain italy turkey', 'NP NP NN NN NN NN NNS RB', 'NN NNS NP NP NP NP', 'a share in a company or business'
'comments john major succeeded mrX lawson also failed damp market concern despite pledge maintain relatively high british', 'rates', 'NNS NP NP VBN NP NP RB VBD VB NN NN IN NN VB RB JJ JJ', 'NNS', 'money paid for the use of money'
'according one london-based analyst even higher', 'rates nXt help pound britain Xs government continues appear unstable', 'VBG AB JJ NN RB JJR', 'NNS RB VB NN NP POS NN VBZ VB JJ', 'money paid for the use of money'
'rockefeller group agreed sell 51 %', 'mitsubishi estate major japanese developer property owner $ 846 million', 'NP NP VBD VB AB NN', 'NP NP JJ JJ NN NN NN NN AB AB', 'a share in a company or business'
'cray research retain 10 %', 'new company based colorado springs colo', 'NP NP VB AB NN', 'JJ NN VBN NP NP NP', 'a share in a company or business'
'bio-technology new york maker genetically engineered products human animal health care said made exchange offer reduce', 'payments', 'NP NP NP NN RB VBN NNS NN NN NN NN VBD VBD NN NN VB', 'NNS', 'money paid for the use of money'
'course turf battles unseemly wasteful potentially dangerous resolved', 'national security mrX lehman seems part problem rather part answer', 'NN JJ NNS JJ JJ RB JJ VBN', 'JJ NN NP NP VBZ NN NN RB NN NN', 'advantage, advancement or favor'
'mrX corr resigned pursue business', 'airline said', 'NP NP VBD VB NN', 'NN VBD', 'activity, etc. that one gives attention to'
'cincinnati-based pANDg took', 'ordered two studies psyllium cholesterol', 'JJ NP VBD', 'VBD AB NNS NN NN', 'readiness to give attention'
'', 'emigration investment abroad soaring since june 4 assumption longer seems safe', '', 'NN NN RB VBG IN NP AB NN RB VBZ JJ', 'readiness to give attention'
'net', 'income third quarter declined $ 35X6 million $ 70X1 million year ago', 'JJ', 'NN JJ NN VBD NN AB AB NN AB AB NN IN', 'money paid for the use of money'
'bonds issued term 34 years', 'rate 8 %', 'NNS VBN NN AB NNS', 'NN AB NN', 'money paid for the use of money'
'manufacturers hanover corpX unit seeking repayment $ 36 million loan asked court give claim priority minpeco $ 132 million judgment mrX hunt brother nelson bunker hunt defendants last year case stemming alleged attempts corner silver market claiming penalties legal fees', 'driven value claim $ 250 million minpeco agreed settle allowed claim much $ 65X7 million', 'NPS NP NP NN VBG NN NN AB AB NN VBN NN VB NN NN NP NN AB AB NN NP NP NN NP NP NP NNS JJ NN NN VBG VBN NNS VB JJ NN VBG NNS JJ NNS', 'VBN NN NN NN AB AB NP VBN VB JJ NN JJ NN AB AB', 'money paid for the use of money'
'automatic data redeeming bonds after-tax cost', 'bonds higher dividend yield common spokesman said', 'NP NP JJ NNS JJ NN', 'NNS JJR NN NN JJ NN VBD', 'money paid for the use of money'
'one thing Xs sure ton greater beings editors national enquirer shown', '', 'AB NN VBZ JJ NN JJR NNS NNS NP NP VBN', '', 'readiness to give attention'
'recently pound falling high inflation also seemed almost impervious high', 'rates mrX lawson deployed stop', 'RB NN VBG JJ NN RB VBN RB JJ JJ', 'NNS NP NP VBD VB', 'money paid for the use of money'
'mrX reynolds also notes since british banks reserve requirements high', 'rates less likely curb inflation recession', 'NP NP RB VBZ IN JJ NNS NN NNS JJ', 'NNS RBR JJ VB NN NN', 'money paid for the use of money'
'advice immediately return government surpluses economy incentive-maximizing tax cuts find monetary policy target balances supply demand money neither aggregates', 'rates', 'NN RB VB NN NNS NN JJ NN NNS VB JJ NN NN VBZ NN NN NN DT NNS', 'NNS', 'money paid for the use of money'
'mrX roman workaholic detailsman mrX phillips rather delegate leaving time', 'outside office', 'NP NP NN NN NP NP RB VB VBG NN', 'IN NN', 'activity, etc. that one gives attention to'
'company Xs earnings', 'taxes depreciation bondholders measurement chain Xs ability pay existing debt increased 11 % fiscal 1989 $ 926X1 million $ 833X6 million', 'NN POS NNS', 'NNS NN NNS NN NN POS NN VB VBG NN VBD AB NN JJ AB NN AB AB NN AB AB', 'money paid for the use of money'
'excluding businesses earnings', 'taxes depreciation 1988 $ 728X5 million', 'VBG NNS NNS', 'NNS NN AB NN AB AB', 'money paid for the use of money'
'financial analysts note mrX rey attracted companies undervalued basis real-estate', '', 'JJ NNS VBP NP NP VBN NNS VBN NN NN', '', 'a share in a company or business'
'means unisys pay $ 100 million', 'every quarter top $ 27 million dividends preferred stock', 'VBZ NP VB NN AB AB', 'DT NN NN NN AB AB NNS JJ NN', 'money paid for the use of money'
'said long-term', 'rates 9 % drop 7 % end 1989 bonds benefit falling rates good buy', 'VBD JJ', 'NNS AB NN VB AB NN NN AB NNS VBP VBG NNS JJ NN', 'money paid for the use of money'
'good half-hour breakfast palmer house mrX oXbrien looks plate mrX straszheim says something people believe', 'rates nosedive', 'JJ NN NN NP NP NP NP VBZ NN NP NP VBZ NN NNS VBP', 'NNS JJ', 'money paid for the use of money'
'says economy especially employment numbers look much better expected', 'rates generally declined inflation nXt run amok', 'VBZ NN RB NN NNS VBP RB RB VBD', 'NNS RB VBN NN RB VB RB', 'money paid for the use of money'
'keep exchange rate pegged mrX lawson tightened monetary policy pushed', 'rates 15 %', 'VB NN NN VBD NP NP VBD JJ NN VBD', 'NNS AB NN', 'money paid for the use of money'
'doubled mortgage', 'rates many new homeowners mrsX thatcher Xs policies created producing widespread disaffection pushing labor ahead polls', 'VBD NN', 'NNS JJ JJ NNS NP NP POS NNS VBN VBG JJ NN VBG NN RB NNS', 'money paid for the use of money'
'consequently mrX lawson saddled mrsX thatcher record trade deficit renewed inflation high', 'rates - three political failures row', 'RB NP NP VBD NP NP NN NN NN VBN NN JJ', 'NNS ? AB JJ NNS NN', 'money paid for the use of money'
'important governments ignored role tax rates attracting real capital investment instead emphasizing financial flows response high', 'rates', 'JJ NNS VBN NN NN NNS VBG JJ NN NN RB VBG JJ NNS NN JJ', 'NNS', 'money paid for the use of money'
'currency falls', 'rates raised attract financial flows order stabilize exchange rate', 'NN VBZ', 'NNS VBN VB JJ NNS NN VB NN NN', 'money paid for the use of money'
'ra acquired howick coal mine octX 20 bought british petroleum coX Xs australian coal', '$ 275 million', 'NP VBD NP NN NN NP AB VBD NP NP NP POS JJ NN', 'NN AB AB', 'a share in a company or business'
'rather mrX perlman said control data intends bid coming minnesota lottery contract seeking new applications technology overseas great', 'games skill', 'RB NP NP VBD NP NP VBZ VB VBG NP NN NN VBG JJ NNS NN RB JJ', 'NNS NN', 'readiness to give attention'
'underscoring size deficits past years treasury report showed first time', 'paid public debt - $ 240X86 billion - exceeded spending social security single largest government program', 'VBG NN NNS JJ NNS NP NN VBD JJ NN', 'VBN JJ NN ? NN AB AB ? VBD NN NP NP JJ JJS NN NN', 'money paid for the use of money'
'accrued', 'refund $ 18 million octX 25', 'VBN', 'NN NN AB AB NP AB', 'money paid for the use of money'
'humana incX said expects receive $ 27 million federal income-tax refunds', 'court ruling tax dispute', 'NP NP VBD VBZ VB NN AB AB JJ JJ NNS', 'NN VBG NN NN', 'money paid for the use of money'
'addition new york-based lin exercise right buy $ 1X9 billion 55 % equity', 'partner metromedia coX new york cellular franchise', 'NN NP JJ NP VB NN VB NN AB AB AB NN NN', 'NN NP NP NP NP JJ NN', 'a share in a company or business'
